Rank,Phrase,Count,Percentage
1,people,526,1.31%
2,the universe,299,0.74%
3,india,269,0.67%
4,the world,262,0.65%
5,things,259,0.64%
6,the game,247,0.61%
7,god,227,0.56%
8,my mind,210,0.52%
9,life,210,0.52%
10,your mind,196,0.49%
11,the mind,171,0.42%
12,the process,164,0.41%
13,the end,134,0.33%
14,the thing,129,0.32%
15,america,122,0.30%
16,the way,121,0.30%
17,the nature,118,0.29%
18,the moment,112,0.28%
19,the car,110,0.27%
20,the place,107,0.27%
21,the whole thing,106,0.26%
22,the room,102,0.25%
23,the people,99,0.25%
24,your awareness,93,0.23%
25,the situation,92,0.23%
26,years,91,0.23%
27,the person,91,0.23%
28,time,90,0.22%
29,my father,90,0.22%
30,the system,88,0.22%
31,a lot,87,0.22%
32,the body,84,0.21%
33,your heart,83,0.21%
34,the predicament,80,0.20%
35,the spirit,78,0.19%
36,your body,78,0.19%
37,the family,78,0.19%
38,the culture,77,0.19%
39,the truth,77,0.19%
40,the space,77,0.19%
41,my body,72,0.18%
42,the ocean,72,0.18%
43,your own mind,67,0.17%
44,the city,67,0.17%
45,the heart,66,0.16%
46,a sense,64,0.16%
47,the problem,64,0.16%
48,the question,64,0.16%
49,a place,62,0.15%
50,terms,62,0.15%
51,my heart,62,0.15%
52,another person,61,0.15%
53,the fire,61,0.15%
54,death,58,0.14%
55,the illusion,58,0.14%
56,my life,57,0.14%
57,the group,56,0.14%
58,my mother,56,0.14%
59,the experience,56,0.14%
60,earth,56,0.14%
61,the method,56,0.14%
62,his eyes,55,0.14%
63,our hearts,55,0.14%
64,society,55,0.14%
65,the street,54,0.13%
66,my consciousness,53,0.13%
67,the country,53,0.13%
68,space,53,0.13%
69,our minds,52,0.13%
70,this room,52,0.13%
71,the physical plane,52,0.13%
72,a person,51,0.13%
73,consciousness,51,0.13%
74,the same thing,51,0.13%
75,the house,51,0.13%
76,the united states,51,0.13%
77,the role,50,0.12%
78,the book,50,0.12%
79,the story,50,0.12%
80,the energy,50,0.12%
81,the breath,49,0.12%
82,nature,49,0.12%
83,mine,49,0.12%
84,christ,48,0.12%
85,your eyes,48,0.12%
86,the train,48,0.12%
87,the temple,48,0.12%
88,my eyes,48,0.12%
89,view,47,0.12%
90,the river,47,0.12%
91,money,46,0.11%
92,his hands,46,0.11%
93,this culture,46,0.11%
94,the stage,45,0.11%
95,the whole game,45,0.11%
96,the power,45,0.11%
97,reality,44,0.11%
98,your chest,44,0.11%
99,the earth,44,0.11%
100,your life,44,0.11%
101,his body,43,0.11%
102,the society,43,0.11%
103,the mantra,43,0.11%
104,the community,43,0.11%
105,a group,42,0.10%
106,love,42,0.10%
107,the idea,42,0.10%
108,karma,42,0.10%
109,the mountain,42,0.10%
110,the law,42,0.10%
111,california,42,0.10%
112,my car,42,0.10%
113,the other person,42,0.10%
114,the form,41,0.10%
115,his feet,41,0.10%
116,the whole process,40,0.10%
117,the center,40,0.10%
118,the name,40,0.10%
119,the words,40,0.10%
120,the course,40,0.10%
121,the air,40,0.10%
122,the soul,40,0.10%
123,the water,40,0.10%
124,the woods,39,0.10%
125,the art,39,0.10%
126,the journey,38,0.09%
127,a part,38,0.09%
128,the sense,38,0.09%
129,a separate entity,37,0.09%
130,my feet,37,0.09%
131,my hand,37,0.09%
132,the mountains,37,0.09%
133,your thoughts,37,0.09%
134,other people,37,0.09%
135,the ground,36,0.09%
136,a culture,36,0.09%
137,the time,36,0.09%
138,the action,35,0.09%
139,the path,35,0.09%
140,food,35,0.09%
141,the mother,35,0.09%
142,the issue,35,0.09%
143,water,35,0.09%
144,my friends,34,0.08%
145,a space,34,0.08%
146,the entire universe,34,0.08%
147,the sky,34,0.08%
148,men,34,0.08%
149,women,34,0.08%
150,our culture,34,0.08%
151,the one,34,0.08%
152,the practice,33,0.08%
153,your head,33,0.08%
154,the stuff,33,0.08%
155,a thing,33,0.08%
156,the food,33,0.08%
157,the reality,33,0.08%
158,a room,33,0.08%
159,the guy,33,0.08%
160,a book,33,0.08%
161,the word,32,0.08%
162,the drama,31,0.08%
163,his mind,31,0.08%
164,town,31,0.08%
165,the pain,31,0.08%
166,the eyes,31,0.08%
167,my guru,31,0.08%
168,your breath,31,0.08%
169,my family,30,0.07%
170,the scene,30,0.07%
171,the environment,30,0.07%
172,a process,30,0.07%
173,a certain way,30,0.07%
174,the government,29,0.07%
175,their eyes,29,0.07%
176,this game,29,0.07%
177,your predicament,29,0.07%
178,the tree,29,0.07%
179,the village,29,0.07%
180,the bus,28,0.07%
181,your hands,28,0.07%
182,the answer,28,0.07%
183,their mind,28,0.07%
184,the kingdom,28,0.07%
185,the hill,28,0.07%
186,energy,28,0.07%
187,a mantra,28,0.07%
188,stuff,28,0.07%
189,the floor,28,0.07%
190,the stars,27,0.07%
191,the board,27,0.07%
192,the child,27,0.07%
193,his words,27,0.07%
194,the other end,27,0.07%
195,the presence,27,0.07%
196,cancer,27,0.07%
197,man,27,0.07%
198,the road,27,0.07%
199,the soil,27,0.07%
200,the first thing,27,0.07%
201,this country,27,0.07%
202,this moment,27,0.07%
203,the dream,27,0.07%
204,a way,26,0.06%
205,the mystery,26,0.06%
206,our lives,26,0.06%
207,the part,26,0.06%
208,the hospital,26,0.06%
209,part,26,0.06%
210,the ego,25,0.06%
211,the awareness,25,0.06%
212,the fact,25,0.06%
213,his socks,25,0.06%
214,the audience,25,0.06%
215,the rest,25,0.06%
216,the children,25,0.06%
217,our mind,25,0.06%
218,jesus,25,0.06%
219,your consciousness,24,0.06%
220,the bank,24,0.06%
221,my hands,24,0.06%
222,a situation,24,0.06%
223,our car,24,0.06%
224,an incarnation,24,0.06%
225,a trip,24,0.06%
226,power,24,0.06%
227,their minds,24,0.06%
228,the difference,24,0.06%
229,words,24,0.06%
230,the future,23,0.06%
231,a family,23,0.06%
232,a child,23,0.06%
233,the same moment,23,0.06%
234,the baby,23,0.06%
235,new york,23,0.06%
236,a partner,23,0.06%
237,the act,23,0.06%
238,my head,23,0.06%
239,care,23,0.06%
240,this world,23,0.06%
241,the first place,22,0.05%
242,a model,22,0.05%
243,hanuman,22,0.05%
244,the state,22,0.05%
245,the light,22,0.05%
246,the money,22,0.05%
247,my parents,22,0.05%
248,the gods,22,0.05%
249,the plane,22,0.05%
250,compassion,22,0.05%
251,the ways,22,0.05%
252,friends,22,0.05%
253,the grace,22,0.05%
254,the edge,22,0.05%
255,the image,22,0.05%
256,this thing,22,0.05%
257,the trip,21,0.05%
258,the message,21,0.05%
259,a number,21,0.05%
260,information,21,0.05%
261,boston,21,0.05%
262,my awareness,21,0.05%
263,your children,21,0.05%
264,the incarnation,21,0.05%
265,the model,21,0.05%
266,the hills,21,0.05%
267,the head,21,0.05%
268,my room,21,0.05%
269,the rational mind,21,0.05%
270,new york city,21,0.05%
271,england,21,0.05%
272,the whole system,21,0.05%
273,events,21,0.05%
274,your attention,21,0.05%
275,the guru,21,0.05%
276,the door,21,0.05%
277,the things,21,0.05%
278,a community,21,0.05%
279,the silence,20,0.05%
280,the totality,20,0.05%
281,japan,20,0.05%
282,his elbow,20,0.05%
283,their existence,20,0.05%
284,the human condition,20,0.05%
285,thing,20,0.05%
286,a moment,20,0.05%
287,the laborer,20,0.05%
288,this incarnation,20,0.05%
289,another plane,20,0.05%
290,this plane,20,0.05%
291,the sun,20,0.05%
292,the fear,20,0.05%
293,the point,19,0.05%
294,the corner,19,0.05%
295,the king,19,0.05%
296,your own thoughts,19,0.05%
297,your family,19,0.05%
298,the chest,19,0.05%
299,mind,19,0.05%
300,the concept,19,0.05%
301,my own mind,19,0.05%
302,my lips,19,0.05%
303,your desires,19,0.05%
304,the laws,19,0.05%
305,your own heart,19,0.05%
306,your feet,19,0.05%
307,the other side,19,0.05%
308,the courtyard,19,0.05%
309,the army,19,0.05%
310,your senses,19,0.05%
311,the news,19,0.05%
312,a friend,18,0.04%
313,a tree,18,0.04%
314,your incarnation,18,0.04%
315,an act,18,0.04%
316,the side,18,0.04%
317,the kids,18,0.04%
318,the marketplace,18,0.04%
319,evolution,18,0.04%
320,ways,18,0.04%
321,their body,18,0.04%
322,his voice,18,0.04%
323,a method,18,0.04%
324,the first time,18,0.04%
325,the motion,18,0.04%
326,a great deal,18,0.04%
327,a dream,18,0.04%
328,a practice,18,0.04%
329,a car,18,0.04%
330,the town,18,0.04%
331,this society,18,0.04%
332,prison,18,0.04%
333,my rational mind,18,0.04%
334,the witness,18,0.04%
335,seva,17,0.04%
336,your friends,17,0.04%
337,the hotel,17,0.04%
338,a man,17,0.04%
339,the flow,17,0.04%
340,the relationship,17,0.04%
341,the curriculum,17,0.04%
342,this situation,17,0.04%
343,the essence,17,0.04%
344,his hand,17,0.04%
345,the harmony,17,0.04%
346,my point,17,0.04%
347,the forest,17,0.04%
348,your hand,17,0.04%
349,a statement,17,0.04%
350,a game,17,0.04%
351,my thing,17,0.04%
352,these things,17,0.04%
353,my breath,17,0.04%
354,the work,17,0.04%
355,the 4th chakra,17,0.04%
356,vietnam,17,0.04%
357,the top,17,0.04%
358,a retreat,17,0.04%
359,politics,17,0.04%
360,its thing,17,0.04%
361,a soul,17,0.04%
362,the bed,17,0.04%
363,the evening,16,0.04%
364,my brother,16,0.04%
365,your identity,16,0.04%
366,a tight shoe,16,0.04%
367,our tree,16,0.04%
368,the other thing,16,0.04%
369,the line,16,0.04%
370,days,16,0.04%
371,my predicament,16,0.04%
372,my ego,16,0.04%
373,your universe,16,0.04%
374,his name,16,0.04%
375,your thing,16,0.04%
376,television,16,0.04%
377,the table,16,0.04%
378,a form,16,0.04%
379,our society,16,0.04%
380,a state,16,0.04%
381,your part,16,0.04%
382,nepal,16,0.04%
383,a different place,16,0.04%
384,the desire,16,0.04%
385,truth,16,0.04%
386,my thoughts,16,0.04%
387,the level,16,0.04%
388,the quality,16,0.04%
389,the tip,16,0.04%
390,the same place,16,0.04%
391,their lives,16,0.04%
392,the possibility,15,0.04%
393,the dance,15,0.04%
394,harvard,15,0.04%
395,the thoughts,15,0.04%
396,a question,15,0.04%
397,your own life,15,0.04%
398,your actions,15,0.04%
399,a picture,15,0.04%
400,the streets,15,0.04%
401,phenomena,15,0.04%
402,enlightenment,15,0.04%
403,students,15,0.04%
404,an elderly couple,15,0.04%
405,sita,15,0.04%
406,action,15,0.04%
407,my friend,15,0.04%
408,the music,15,0.04%
409,our eyes,15,0.04%
410,your ego,15,0.04%
411,the mill,15,0.04%
412,the divine mother,15,0.04%
413,your mother,15,0.04%
414,a choice,15,0.04%
415,the whole trip,15,0.04%
416,a society,15,0.04%
417,calcutta,15,0.04%
418,the statement,15,0.04%
419,our consciousness,15,0.04%
420,the abdomen,15,0.04%
421,my stepmother,15,0.04%
422,delhi,15,0.04%
423,awareness,15,0.04%
424,the church,14,0.03%
425,the phone,14,0.03%
426,this temporary body,14,0.03%
427,this process,14,0.03%
428,the retreat,14,0.03%
429,the opportunity,14,0.03%
430,their bodies,14,0.03%
431,a woman,14,0.03%
432,an environment,14,0.03%
433,my model,14,0.03%
434,our predicament,14,0.03%
435,the gate,14,0.03%
436,their hearts,14,0.03%
437,the perfection,14,0.03%
438,a system,14,0.03%
439,a result,14,0.03%
440,the awakening,14,0.03%
441,the doctor,14,0.03%
442,the planet,14,0.03%
443,the surface,14,0.03%
444,a mental hospital,14,0.03%
445,the snow,14,0.03%
446,your way,14,0.03%
447,the years,14,0.03%
448,your rational mind,13,0.03%
449,the realm,13,0.03%
450,a member,13,0.03%
451,the nose,13,0.03%
452,our bodies,13,0.03%
453,an experience,13,0.03%
454,my method,13,0.03%
455,the stream,13,0.03%
456,the whole scene,13,0.03%
457,the bathroom,13,0.03%
458,a parent,13,0.03%
459,anger,13,0.03%
460,growth,13,0.03%
461,a baby,13,0.03%
462,his arms,13,0.03%
463,your problem,13,0.03%
464,your intellect,13,0.03%
465,this place,13,0.03%
466,knowledge,13,0.03%
467,most people,13,0.03%
468,my identity,13,0.03%
469,your parents,13,0.03%
470,your job,13,0.03%
471,the hall,13,0.03%
472,your role,13,0.03%
473,the garden,13,0.03%
474,my trip,13,0.03%
475,a human birth,13,0.03%
476,the result,13,0.03%
477,the day,13,0.03%
478,maharaji,13,0.03%
479,my spine,13,0.03%
480,my children,13,0.03%
481,fire,13,0.03%
482,the spiritual path,13,0.03%
483,heaven,13,0.03%
484,this stuff,13,0.03%
485,a long time,13,0.03%
486,the stroke,13,0.03%
487,the minute,13,0.03%
488,each other,13,0.03%
489,gold,12,0.03%
490,the fruits,12,0.03%
491,our roles,12,0.03%
492,months,12,0.03%
493,individual differences,12,0.03%
494,the wisdom,12,0.03%
495,their role,12,0.03%
496,the consciousness,12,0.03%
497,the old woman,12,0.03%
498,your child,12,0.03%
499,your environment,12,0.03%
500,the field,12,0.03%
